Generating quicklooks for year 2025...
Failed to process stfc-temperature-rh-1_cao_20250101_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250102_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250103_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250104_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250105_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250106_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250107_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250108_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250109_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250110_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250111_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250112_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250113_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250114_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250115_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250116_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250117_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250118_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250119_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250120_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250121_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250122_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250123_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250124_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250125_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250126_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250127_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250128_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250129_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250130_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250131_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250201_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250202_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250203_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250204_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250205_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250206_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250207_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250208_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250209_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250210_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250211_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250212_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250213_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250214_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250215_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250216_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250217_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250218_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250219_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250220_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250221_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250222_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250223_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250224_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250225_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250226_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250227_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250228_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250301_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250302_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250303_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250304_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250305_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250306_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250307_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250308_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250309_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250310_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250311_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250312_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250313_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250314_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250315_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250316_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250317_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250318_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250319_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250320_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250321_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250322_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250323_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250324_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250325_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250326_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250327_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250328_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250329_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250330_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250331_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250401_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250402_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250403_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250404_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250405_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250406_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250407_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250408_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250409_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250410_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250411_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250412_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250413_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250414_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250415_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250416_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250417_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250418_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250419_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250420_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250421_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250422_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250423_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250424_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250425_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250426_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250427_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250428_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250429_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250430_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250501_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250502_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250503_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250504_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250505_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250506_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250507_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250508_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250509_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250510_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250511_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250512_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250513_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250514_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250515_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250516_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250517_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250518_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250519_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250520_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250521_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250522_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250523_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250524_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250525_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250526_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250527_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250528_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250529_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250530_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250531_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250601_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250602_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250603_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250604_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250605_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250606_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250607_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250608_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250609_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250610_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250611_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250612_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250613_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250614_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250615_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250616_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250617_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250618_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250619_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250620_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250621_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250622_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
